Region,Year,Crop,Area planted (ha),Production,Yield
DAKAR,2016,Rice,0,0,0
DAKAR,2017,Rice,0,0,0
DAKAR,2018,Rice,,,0
DAKAR,2019,Rice,0,0,0
DAKAR,2019,Sorghum,0,0,0
DAKAR,2017,Sesame,0,0,0
DAKAR,2019,Sesame,0,0,0
DAKAR,2019,Millet,0,0,0
DAKAR,2019,Fonio,0,0,0
DAKAR,2019,Peanut,372,56,0.165
DAKAR,2019,Maize,524,105,0.22
DAKAR,2018,Cowpea,154,61,0.44
DAKAR,2019,Cowpea,169,68,0.44
DAKAR,2017,Cowpea,944,15580,0.495
DAKAR,2018,Millet,9,4,0.495
DAKAR,2016,Cowpea,858,397,0.5093
DAKAR,2017,Sorghum,385,193,0.55
DAKAR,2016,Sorghum,350,180,0.5665
DAKAR,2018,Sorghum,300,170,0.6215
DAKAR,2018,Peanut,3141,1884,0.66
DAKAR,2018,Maize,900,630,0.77
DAKAR,2016,Peanut,1233,1233,0.8338
DAKAR,2017,Peanut,1248,946,0.8338
DAKAR,2017,Maize,990,842,0.935
DAKAR,2016,Maize,900,799,0.9768
DAKAR,2016,Cassava,683,5189,8.36
DAKAR,2017,Cassava,751,5708,8.36
DAKAR,2018,Cassava,342,2599,8.36
DAKAR,2019,Cassava,376,2859,8.36
DAKAR,2016,Watermelon,186,1488,8.8
DAKAR,2017,Watermelon,205,1637,8.8
DAKAR,2018,Watermelon,205,1637,8.8
DAKAR,2019,Watermelon,98,1475,16.5
DAKAR,2016,Sesame,0,0,0
DAKAR,2018,Sesame,,,0
DAKAR,2016,Millet,0,0,0
DAKAR,2017,Millet,0,0,0
DAKAR,2016,Fonio,0,0,0
DAKAR,2017,Fonio,0,0,0
DAKAR,2018,Fonio,,,0
DIOURBEL,2016,Rice,0,0,0
DIOURBEL,2017,Rice,0,0,0
DIOURBEL,2018,Rice,,,0
DIOURBEL,2019,Rice,0,0,0
DIOURBEL,2019,Fonio,0,0,0
DIOURBEL,2016,Cowpea,28997,7301,0.2882
DIOURBEL,2017,Cowpea,31897,1474,0.3542
DIOURBEL,2016,Sesame,763,305,0.44
DIOURBEL,2017,Sesame,839,336,0.44
DIOURBEL,2018,Sesame,617,286,0.5104
DIOURBEL,2017,Sorghum,14062,8960,0.7007
DIOURBEL,2018,Cowpea,18704,12157,0.715
DIOURBEL,2017,Millet,130908,85126,0.715
DIOURBEL,2016,Maize,1014,836,0.8184
DIOURBEL,2017,Peanut,91940,71917,0.8602
DIOURBEL,2016,Peanut,81227,81227,0.8734
DIOURBEL,2016,Millet,129864,103444,0.8767
DIOURBEL,2017,Maize,1115,914,0.9009
DIOURBEL,2016,Sorghum,12784,10666,0.9174
DIOURBEL,2018,Sorghum,12050,10232,0.9339
DIOURBEL,2018,Maize,894,797,0.9801
DIOURBEL,2018,Peanut,58379,52541,0.99
DIOURBEL,2018,Millet,101054,94085,1.0241
DIOURBEL,2019,Sesame,1320,607,1.5125
DIOURBEL,2019,Cowpea,25420,14438,1.892
DIOURBEL,2019,Millet,110504,77973,2.343
DIOURBEL,2019,Maize,983,876,2.365
DIOURBEL,2019,Sorghum,14445,11752,2.585
DIOURBEL,2019,Peanut,69446,57378,2.6345
DIOURBEL,2016,Watermelon,2935,16840,6.9663
DIOURBEL,2018,Watermelon,350,2229,7.0015
DIOURBEL,2017,Watermelon,3228,22059,7.5163
DIOURBEL,2018,Cassava,2474,18801,8.3611
DIOURBEL,2016,Cassava,766,5831,8.4337
DIOURBEL,2017,Cassava,843,6516,8.5074
DIOURBEL,2019,Cassava,10450,85875,26.95
DIOURBEL,2019,Watermelon,9456,85104,29.7
DIOURBEL,2016,Fonio,0,0,0
DIOURBEL,2017,Fonio,0,0,0
DIOURBEL,2018,Fonio,,,0
FATICK,2019,Fonio,0,0,0
FATICK,2018,Sesame,175,70,0.44
FATICK,2019,Sesame,350,140,0.44
FATICK,2016,Cowpea,29454,15389,0.4642
FATICK,2017,Sesame,449,191,0.4686
FATICK,2016,Sesame,408,174,0.5137
FATICK,2017,Cowpea,32200,10258,0.5324
FATICK,2018,Cowpea,7925,4379,0.6083
FATICK,2017,Millet,141638,96849,0.7524
FATICK,2017,Peanut,186864,140023,0.8239
FATICK,2016,Millet,139077,108840,0.8613
FATICK,2016,Peanut,182017,182017,0.8899
FATICK,2016,Sorghum,13761,11989,0.9581
